1940	6.5	9.5	-2.9	96.3	139.2	-42.9	0.0680	6.7	9.6	-3.0	
1941	8.7	13.7	-4.9	117.4	184.0	-66.6	0.0742	7.5	11.7	-4.3	
1942	14.6	35.1	-20.5	170.2	408.6	-238.4	0.0860	9.9	23.8	-13.9	
1943	24.0	78.6	-54.6	250.8	820.8	-570.1	0.0957	13.0	42.6	-29.6	
1944	43.7	91.3	-47.6	495.4	1,034.0	-538.6	0.0883	20.5	42.7	-22.2	
1945	45.2	92.7	-47.6	542.1	1,113.0	-570.9	0.0833	19.9	41.0	-21.0	
1946	39.3	55.2	-15.9	467.8	657.5	-189.7	0.0840	17.2	24.2	-7.0	
1947	38.5	34.5	4.0	410.2	367.4	42.8	0.0939	16.1	14.4	1.7	
1948	41.6	29.8	11.8	417.7	299.1	118.6	0.0995	15.8	11.3	4.5	
1949	39.4	38.8	0.6	410.6	404.5	6.0	0.0960	14.2	14.0	0.2	
1950	39.4	42.6	-3.1	392.1	423.1	-31.0	0.1006	14.1	15.3	-1.1	
1951	51.6	45.5	6.1	513.1	452.4	60.7	0.1006	15.8	13.9	1.9	
1952	66.2	67.7	-1.5	659.7	674.8	-15.1	0.1003	18.5	18.9	-0.4	
1953	69.6	76.1	-6.5	645.7	705.9	-60.2	0.1078	18.2	19.9	-1.7	
1954	69.7	70.9	-1.2	625.1	635.5	-10.4	0.1115	18.0	18.3	-0.3	
1955	65.5	68.4	-3.0	568.2	594.1	-26.0	0.1152	16.1	16.8	-0.7	
1956	74.6	70.6	3.9	620.5	587.7	32.8	0.1202	17.0	16.1	0.9	
1957	80.0	76.6	3.4	634.8	607.8	27.1	0.1260	17.2	16.5	0.7	
1958	79.6	82.4	-2.8	596.5	617.3	-20.7	0.1335	16.8	17.4	-0.6	
1959	79.2	92.1	-12.8	570.5	663.1	-92.5	0.1389	15.7	18.2	-2.5	
1960	92.5	92.2	0.3	656.0	653.8	2.1	0.1410	17.3	17.2	0.1	
1961	94.4	97.7	-3.3	655.0	678.2	-23.1	0.1441	17.2	17.8	-0.6	
1962	99.7	106.8	-7.1	691.2	740.8	-49.6	0.1442	17.0	18.2	-1.2	
1963	106.6	111.3	-4.8	709.5	741.1	-31.7	0.1502	17.2	18.0	-0.8	
1964	112.6	118.5	-5.9	737.5	776.2	-38.7	0.1527	17.0	17.9	-0.9	
1965	116.8	118.2	-1.4	753.7	762.8	-9.1	0.1550	16.4	16.6	-0.2	
1966	130.8	134.5	-3.7	821.3	844.5	-23.2	0.1593	16.7	17.2	-0.5	
1967	148.8	157.5	-8.6	913.6	966.6	-53.1	0.1629	17.8	18.8	-1.0	
1968	153.0	178.1	-25.2	905.7	1,054.7	-149.0	0.1689	17.0	19.8	-2.8	
1969	186.9	183.6	3.2	1,041.1	1,023.1	18.1	0.1795	19.0	18.7	0.3	
1970	192.8	195.6	-2.8	1,016.4	1,031.4	-15.0	0.1897	18.4	18.6	-0.3	
1971	187.1	210.2	-23.0	922.3	1,035.8	-113.5	0.2029	16.7	18.8	-2.1	
1972	207.3	230.7	-23.4	958.0	1,066.0	-108.0	0.2164	17.0	18.9	-1.9	
1973	230.8	245.7	-14.9	1,019.0	1,084.8	-65.8	0.2265	17.0	18.1	-1.1	
1974	263.2	269.4	-6.1	1,073.1	1,098.1	-25.0	0.2453	17.7	18.1	-0.4	
1975	279.1	332.3	-53.2	1,036.0	1,233.6	-197.6	0.2694	17.3	20.6	-3.3	
